Chro	strand	start	end	#CGs	length	score	cov_control	cov_tumor	meth_control	meth_tumor
chr1	+	925814	925837	3	23	122.41	4.75	4.67	0.0	27.41	
chr1	+	960531	960550	3	19	211.5	4.33	8.12	0.0	26.88	
chr1	+	999795	999815	3	20	166.05	6.62	5.67	0.0	28.15	
chr1	+	999869	999887	3	18	205.8	5.67	5.88	0.0	33.33	
chr1	+	1033543	1033563	3	20	143.81	6.0	5.62	0.0	22.29	
chr1	+	1059856	1059879	3	23	61.24	10.0	6.0	0.0	39.42	
chr1	+	1068647	1068671	3	24	83.74	7.0	4.6	0.0	53.33	
chr1	+	1158056	1158076	3	20	216.91	6.0	7.0	0.0	44.26	
chr1	+	1231204	1231224	4	20	383.19	3.43	5.55	0.0	61.52	
chr1	+	1232574	1232598	6	24	389.89	2.5	6.88	0.0	34.48	
chr1	+	1232586	1232608	5	22	258.25	2.5	7.23	0.0	30.38	
chr1	+	1232596	1232618	4	22	230.16	2.5	7.0	0.0	32.5	
chr1	+	1232598	1232618	3	20	178.21	2.38	7.12	0.0	34.27	
chr1	+	1239978	1239998	3	20	264.68	1.5	6.43	0.0	63.33	
chr1	+	1246682	1246705	4	23	204.54	4.0	6.8	0.0	34.17	
chr1	+	1246685	1246705	3	20	188.11	4.0	6.5	0.0	39.58	
chr1	+	1246754	1246774	4	20	291.74	3.25	6.0	0.0	45.83	
chr1	+	1246772	1246793	3	21	184.92	3.17	6.0	0.0	39.44	
chr1	+	1355325	1355348	3	23	272.65	7.0	3.67	0.0	73.15	
chr1	+	1355449	1355473	3	24	311.08	7.0	3.67	0.0	75.0	
chr1	+	1398819	1398841	3	22	107.36	6.38	5.88	0.0	29.91	
chr1	+	1434542	1434561	3	19	247.23	6.0	4.75	0.0	76.67	
chr1	+	1600546	1600570	4	24	261.77	4.0	3.33	0.0	73.06	
chr1	+	1600616	1600637	3	21	101.31	4.0	3.0	0.0	41.85	
chr1	+	1782386	1782407	3	21	171.02	3.5	6.0	0.0	32.96	
chr1	+	1782602	1782623	4	21	199.0	4.33	6.2	0.0	36.96	
chr1	+	1890108	1890127	4	19	179.14	3.0	8.67	0.0	30.93	
chr1	+	1890372	1890394	3	22	67.3	3.0	9.5	0.0	15.28	
chr1	+	1890437	1890459	3	22	103.74	3.0	7.62	0.0	17.56	
chr1	+	1890517	1890536	3	19	107.74	3.0	6.67	0.0	17.35	
chr1	+	1890985	1891009	3	24	101.52	3.0	7.57	0.0	26.67	
chr1	+	1890999	1891018	3	19	116.23	3.0	7.57	0.0	29.76	
chr1	+	1891719	1891739	3	20	137.9	3.0	6.5	0.0	32.52	
