chromosome	strand	start_fw	end_fw	CGs_fw	length_fw	score_fw	start_rev	end_rev	CGs_rev	length_rev	score_rev	length_product	score_product	cov_contr	cov_tumor	meth_contr	meth_tumor	gc_fw	gc_rev	gene
chr7	+	129169295	129169319	6	24	5932.45	129169472	129169493	3	21	3045.55	198	8978.0	15.18	34.24	0.3	97.57	0.92	0.92	TSPAN33 TSPAN33 TSPAN33 TSPAN33 TSPAN33
chr7	-	128031667	128031690	6	23	5538.76	128031759	128031777	4	18	3406.13	110	8944.89	12.95	33.4	0.0	87.62	0.96	0.96	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	+	129169295	129169319	6	24	5932.45	129169456	129169476	3	20	2970.51	181	8902.96	15.15	34.2	0.3	96.46	0.92	0.92	TSPAN33 TSPAN33 TSPAN33 TSPAN33 TSPAN33
chr7	-	128031397	128031417	4	20	3145.77	128031667	128031690	6	23	5538.76	293	8684.53	13.45	33.0	0.0	85.26	0.9	0.9	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031667	128031690	6	23	5538.76	128031716	128031740	4	24	2566.09	73	8104.85	13.0	33.4	0.26	77.07	0.96	0.96	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031623	128031647	3	24	2504.23	128031667	128031690	6	23	5538.76	67	8042.99	13.02	33.3	0.0	87.0	0.83	0.83	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031669	128031690	5	21	4622.76	128031759	128031777	4	18	3406.13	108	8028.89	12.9	33.4	0.0	87.68	0.95	0.95	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	+	129169297	129169319	5	22	4974.61	129169472	129169493	3	21	3045.55	196	8020.16	15.18	34.24	0.2	97.9	0.91	0.91	TSPAN33 TSPAN33 TSPAN33 TSPAN33 TSPAN33
chr7	+	129169297	129169319	5	22	4974.61	129169456	129169476	3	20	2970.51	179	7945.12	15.15	34.2	0.2	96.78	0.91	0.91	TSPAN33 TSPAN33 TSPAN33 TSPAN33 TSPAN33
chr7	-	128031671	128031695	5	24	4534.64	128031759	128031777	4	18	3406.13	106	7940.77	12.9	33.4	0.0	86.86	0.92	0.92	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031647	128031671	5	24	4521.47	128031759	128031777	4	18	3406.13	130	7927.6	12.98	33.36	0.0	86.8	0.88	0.88	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	+	129169286	129169308	5	22	4826.66	129169472	129169493	3	21	3045.55	207	7872.21	15.18	34.25	0.16	96.34	0.82	0.82	TSPAN33 TSPAN33 TSPAN33 TSPAN33 TSPAN33
chr7	-	128031412	128031433	3	21	2305.43	128031667	128031690	6	23	5538.76	278	7844.19	13.45	33.03	0.0	84.25	0.76	0.76	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031667	128031690	6	23	5538.76	128031913	128031935	3	22	2272.17	268	7810.93	12.95	33.03	0.0	83.63	0.96	0.96	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	+	129169286	129169308	5	22	4826.66	129169456	129169476	3	20	2970.51	190	7797.17	15.15	34.22	0.16	95.23	0.82	0.82	TSPAN33 TSPAN33 TSPAN33 TSPAN33 TSPAN33
chr7	-	128031397	128031417	4	20	3145.77	128031669	128031690	5	21	4622.76	293	7768.53	13.4	33.0	0.0	85.32	0.9	0.9	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031667	128031690	6	23	5538.76	128031901	128031920	3	19	2171.24	253	7710.0	12.98	33.0	0.0	82.15	0.96	0.96	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031397	128031417	4	20	3145.77	128031671	128031695	5	24	4534.64	298	7680.41	13.4	33.0	0.0	84.5	0.9	0.9	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031667	128031690	6	23	5538.76	128031740	128031762	3	22	2133.44	95	7672.2	12.95	33.4	0.0	80.64	0.96	0.96	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031397	128031417	4	20	3145.77	128031647	128031671	5	24	4521.47	274	7667.24	13.48	32.96	0.0	84.43	0.9	0.9	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031652	128031671	4	19	3818.67	128031759	128031777	4	18	3406.13	125	7224.8	12.98	33.38	0.0	89.25	0.89	0.89	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031669	128031690	5	21	4622.76	128031716	128031740	4	24	2566.09	71	7188.85	12.94	33.4	0.26	77.13	0.95	0.95	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031623	128031647	3	24	2504.23	128031669	128031690	5	21	4622.76	67	7126.99	12.96	33.3	0.0	87.06	0.83	0.83	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031671	128031695	5	24	4534.64	128031716	128031740	4	24	2566.09	69	7100.73	12.94	33.4	0.26	76.31	0.92	0.92	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031647	128031671	5	24	4521.47	128031716	128031740	4	24	2566.09	93	7087.56	13.03	33.36	0.26	76.24	0.88	0.88	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031623	128031647	3	24	2504.23	128031671	128031695	5	24	4534.64	72	7038.87	12.96	33.3	0.0	86.24	0.83	0.83	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	+	129169299	129169319	4	20	3968.02	129169472	129169493	3	21	3045.55	194	7013.57	15.18	34.24	0.25	97.76	0.9	0.9	TSPAN33 TSPAN33 TSPAN33 TSPAN33 TSPAN33
chr7	-	128031397	128031417	4	20	3145.77	128031652	128031671	4	19	3818.67	274	6964.44	13.48	32.98	0.0	86.88	0.9	0.9	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chr7	+	129169308	129169328	4	20	3904.87	129169472	129169493	3	21	3045.55	185	6950.42	15.18	34.24	0.25	96.94	0.95	0.95	TSPAN33 TSPAN33 TSPAN33 TSPAN33 TSPAN33
chr7	+	129169299	129169319	4	20	3968.02	129169456	129169476	3	20	2970.51	177	6938.53	15.15	34.2	0.25	96.65	0.9	0.9	TSPAN33 TSPAN33 TSPAN33 TSPAN33 TSPAN33
chr7	-	128031412	128031433	3	21	2305.43	128031669	128031690	5	21	4622.76	278	6928.19	13.4	33.03	0.0	84.31	0.76	0.76	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
chr7	-	128031669	128031690	5	21	4622.76	128031913	128031935	3	22	2272.17	266	6894.93	12.9	33.03	0.0	83.69	0.95	0.95	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4
chr7	+	129169308	129169328	4	20	3904.87	129169456	129169476	3	20	2970.51	168	6875.38	15.15	34.2	0.25	95.82	0.95	0.95	TSPAN33 TSPAN33 TSPAN33 TSPAN33 TSPAN33
chr7	-	128031412	128031433	3	21	2305.43	128031671	128031695	5	24	4534.64	283	6840.07	13.4	33.03	0.0	83.49	0.76	0.76	SND1 SND1 LRRC4 LRRC4 LRRC4 LRRC4 LRRC4
